Team A0 1,Team B0 7
Team A7376 6,Team B7376 8
Team A7377 6,Team B7377 0
Team A7378 8,Team B7378 2
Team A7379 2,Team B7379 4
Team A7380 7,Team B7380 9
Team A7381 1,Team B7381 9
Team A7382 8,Team B7382 4
Team A7383 3,Team B7383 1
Team A7384 8,Team B7384 6
Team A7385 6,Team B7385 8
Team A7386 3,Team B7386 2
Team A7387 1,Team B7387 6
Team A7388 2,Team B7388 3
Team A7389 2,Team B7389 3
Team A7390 8,Team B7390 2
Team A7391 4,Team B7391 2
Team A7392 9,Team B7392 2
Team A7393 6,Team B7393 0
Team A7394 4,Team B7394 3
Team A7395 3,Team B7395 7
Team A7396 4,Team B7396 9
Team A7397 9,Team B7397 0
Team A7398 7,Team B7398 6
Team A7399 2,Team B7399 7
Team A7400 7,Team B7400 3
Team A7401 9,Team B7401 4
Team A7402 2,Team B7402 4
Team A7403 5,Team B7403 9
Team A7404 5,Team B7404 4
Team A7405 6,Team B7405 7
Team A7406 7,Team B7406 7
Team A7407 6,Team B7407 8
Team A7408 5,Team B7408 8
Team A7409 2,Team B7409 8
Team A7410 5,Team B7410 5
Team A7411 0,Team B7411 7
Team A7412 6,Team B7412 1
Team A7413 7,Team B7413 8
Team A7414 9,Team B7414 1
Team A7415 5,Team B7415 4
Team A7416 8,Team B7416 4
Team A7417 7,Team B7417 9
Team A7418 3,Team B7418 8
Team A7419 2,Team B7419 3
Team A7420 1,Team B7420 2
Team A7421 9,Team B7421 7
Team A7422 0,Team B7422 8
Team A7423 6,Team B7423 6
Team A7424 8,Team B7424 0
Team A7425 1,Team B7425 8
Team A7426 7,Team B7426 4
Team A7427 8,Team B7427 4
Team A7428 0,Team B7428 9
Team A7429 4,Team B7429 8
Team A7430 0,Team B7430 5
Team A7431 0,Team B7431 4
Team A7432 6,Team B7432 7
Team A7433 8,Team B7433 1
Team A7434 6,Team B7434 8
Team A7435 1,Team B7435 3
Team A7436 5,Team B7436 6
Team A7437 9,Team B7437 1
Team A7438 8,Team B7438 5
Team A7439 0,Team B7439 0
Team A7440 1,Team B7440 7
Team A7441 1,Team B7441 1
Team A7442 0,Team B7442 5
Team A7443 1,Team B7443 0
Team A7444 5,Team B7444 3
Team A7445 0,Team B7445 8
Team A7446 2,Team B7446 5
Team A7447 7,Team B7447 4
Team A7448 2,Team B7448 0
Team A7449 4,Team B7449 2
Team A7450 0,Team B7450 5
Team A7451 3,Team B7451 1
Team A7452 1,Team B7452 5
Team A7453 5,Team B7453 7
Team A7454 9,Team B7454 0
Team A7455 0,Team B7455 7
Team A7456 1,Team B7456 1
Team A7457 0,Team B7457 8
Team A7458 5,Team B7458 5
Team A7459 9,Team B7459 5
Team A7460 8,Team B7460 3
Team A7461 0,Team B7461 3
Team A7462 7,Team B7462 6
Team A7463 5,Team B7463 1
Team A7464 2,Team B7464 3
Team A7465 7,Team B7465 2
Team A7466 2,Team B7466 0
Team A7467 5,Team B7467 2
Team A7468 8,Team B7468 2
Team A7469 6,Team B7469 7
Team A7470 0,Team B7470 7
Team A7471 8,Team B7471 3
Team A7472 1,Team B7472 1
Team A7473 3,Team B7473 7
Team A7474 0,Team B7474 1
Team A7475 9,Team B7475 5
Team A7476 1,Team B7476 3
Team A7477 2,Team B7477 6
Team A7478 7,Team B7478 9
Team A7479 9,Team B7479 3
Team A7480 3,Team B7480 4
Team A7481 7,Team B7481 5
Team A7482 4,Team B7482 4
Team A7483 6,Team B7483 3
Team A7484 3,Team B7484 0
Team A7485 3,Team B7485 7
Team A7486 8,Team B7486 9
Team A7487 4,Team B7487 8
Team A7488 8,Team B7488 7
Team A7489 9,Team B7489 5
Team A7490 2,Team B7490 5
Team A7491 8,Team B7491 6
Team A7492 8,Team B7492 9
Team A7493 6,Team B7493 5
Team A7494 1,Team B7494 2
Team A7495 3,Team B7495 8
Team A7496 2,Team B7496 7
Team A7497 2,Team B7497 3
Team A7498 6,Team B7498 9
Team A7499 4,Team B7499 7
Team A7500 8,Team B7500 8
Team A7501 2,Team B7501 7
Team A7502 5,Team B7502 4
Team A7503 6,Team B7503 5
Team A7504 7,Team B7504 1
Team A7505 7,Team B7505 6
Team A7506 7,Team B7506 0
Team A7507 5,Team B7507 3
Team A7508 1,Team B7508 2
Team A7509 2,Team B7509 5
Team A7510 1,Team B7510 7
Team A7511 7,Team B7511 2
Team A7512 0,Team B7512 7
Team A7513 6,Team B7513 4
Team A7514 0,Team B7514 4
Team A7515 4,Team B7515 3
Team A7516 5,Team B7516 8
Team A7517 7,Team B7517 6
Team A7518 1,Team B7518 9
Team A7519 3,Team B7519 5
Team A7520 6,Team B7520 5
Team A7521 3,Team B7521 0
Team A7522 1,Team B7522 8
Team A7523 0,Team B7523 6
Team A7524 6,Team B7524 8
Team A7525 5,Team B7525 1
Team A7526 4,Team B7526 2
Team A7527 1,Team B7527 9
Team A7528 3,Team B7528 1
Team A7529 1,Team B7529 1
Team A7530 9,Team B7530 5
Team A7531 8,Team B7531 4
Team A7532 3,Team B7532 7
Team A7533 2,Team B7533 2
Team A7534 8,Team B7534 4
Team A7535 9,Team B7535 2
Team A7536 3,Team B7536 3
Team A7537 4,Team B7537 7
Team A7538 7,Team B7538 7
Team A7539 9,Team B7539 6
Team A7540 7,Team B7540 7
Team A7541 2,Team B7541 9
Team A7542 0,Team B7542 2
Team A7543 2,Team B7543 1
Team A7544 9,Team B7544 9
Team A7545 6,Team B7545 1
Team A7546 5,Team B7546 6
Team A7547 1,Team B7547 8
Team A7548 0,Team B7548 5
Team A7549 7,Team B7549 3
Team A7550 6,Team B7550 6
Team A7551 0,Team B7551 1
Team A7552 2,Team B7552 4
Team A7553 1,Team B7553 7
Team A7554 5,Team B7554 8
Team A7555 3,Team B7555 6
Team A7556 9,Team B7556 4
Team A7557 9,Team B7557 4
Team A7558 7,Team B7558 1
Team A7559 4,Team B7559 1
Team A7560 8,Team B7560 5
Team A7561 2,Team B7561 1
Team A7562 7,Team B7562 5
Team A7563 6,Team B7563 1
Team A7564 6,Team B7564 6
Team A7565 9,Team B7565 7
Team A7566 0,Team B7566 0
Team A7567 6,Team B7567 6
Team A7568 7,Team B7568 6
Team A7569 8,Team B7569 9
Team A7570 3,Team B7570 9
Team A7571 5,Team B7571 9
Team A7572 8,Team B7572 0
Team A7573 5,Team B7573 9
Team A7574 8,Team B7574 5
Team A7575 2,Team B7575 5
Team A7576 1,Team B7576 6
Team A7577 2,Team B7577 9
Team A7578 5,Team B7578 4
Team A7579 6,Team B7579 5
Team A7580 7,Team B7580 7
Team A7581 6,Team B7581 7
Team A7582 0,Team B7582 3
Team A7583 1,Team B7583 9
Team A7584 2,Team B7584 3
Team A7585 1,Team B7585 4
Team A7586 8,Team B7586 7
Team A7587 6,Team B7587 5
Team A7588 3,Team B7588 2
Team A7589 5,Team B7589 6
Team A7590 8,Team B7590 7
Team A7591 7,Team B7591 2
Team A7592 4,Team B7592 2
Team A7593 3,Team B7593 0
Team A7594 2,Team B7594 4
Team A7595 6,Team B7595 5
Team A7596 0,Team B7596 6
Team A7597 8,Team B7597 8
Team A7598 5,Team B7598 5
Team A7599 0,Team B7599 5
Team A7600 3,Team B7600 8
Team A7601 2,Team B7601 4
Team A7602 3,Team B7602 5
Team A7603 5,Team B7603 0
Team A7604 2,Team B7604 6
Team A7605 7,Team B7605 9
Team A7606 1,Team B7606 0
Team A7607 1,Team B7607 0
Team A7608 7,Team B7608 1
Team A7609 2,Team B7609 3
Team A7610 7,Team B7610 4
Team A7611 0,Team B7611 8
Team A7612 1,Team B7612 2
Team A7613 8,Team B7613 9
Team A7614 1,Team B7614 7
Team A7615 4,Team B7615 1
Team A7616 3,Team B7616 7
Team A7617 1,Team B7617 7
Team A7618 0,Team B7618 2
Team A7619 0,Team B7619 6
Team A7620 4,Team B7620 5
Team A7621 2,Team B7621 4
Team A7622 6,Team B7622 4
Team A7623 3,Team B7623 3
Team A7624 6,Team B7624 2
Team A7625 9,Team B7625 7
Team A7626 4,Team B7626 8
Team A7627 5,Team B7627 6
Team A7628 2,Team B7628 7
Team A7629 3,Team B7629 4
Team A7630 5,Team B7630 2
Team A7631 0,Team B7631 0
Team A7632 6,Team B7632 7
Team A7633 0,Team B7633 8
Team A7634 2,Team B7634 2
Team A7635 7,Team B7635 5
Team A7636 9,Team B7636 2
Team A7637 1,Team B7637 9
Team A7638 0,Team B7638 8
Team A7639 8,Team B7639 8
Team A7640 5,Team B7640 1
Team A7641 8,Team B7641 8
Team A7642 1,Team B7642 0
Team A7643 8,Team B7643 8
Team A7644 3,Team B7644 2
Team A7645 8,Team B7645 7
Team A7646 6,Team B7646 6
Team A7647 3,Team B7647 9
Team A7648 5,Team B7648 7
Team A7649 8,Team B7649 7
Team A7650 4,Team B7650 4
Team A7651 1,Team B7651 7
Team A7652 4,Team B7652 3
Team A7653 2,Team B7653 2
Team A7654 9,Team B7654 1
Team A7655 6,Team B7655 6
Team A7656 5,Team B7656 7
Team A7657 3,Team B7657 0
Team A7658 1,Team B7658 7
Team A7659 9,Team B7659 1
Team A7660 7,Team B7660 8
Team A7661 7,Team B7661 0
Team A7662 2,Team B7662 7
Team A7663 1,Team B7663 8
Team A7664 3,Team B7664 4
Team A7665 1,Team B7665 7
Team A7666 8,Team B7666 5
Team A7667 7,Team B7667 1
Team A7668 4,Team B7668 8
Team A7669 2,Team B7669 5
Team A7670 9,Team B7670 2
Team A7671 6,Team B7671 5
Team A7672 7,Team B7672 5
Team A7673 4,Team B7673 4
Team A7674 2,Team B7674 7
Team A7675 0,Team B7675 5
Team A7676 3,Team B7676 7
Team A7677 1,Team B7677 4
Team A7678 5,Team B7678 8
Team A7679 0,Team B7679 9
Team A7680 1,Team B7680 6
Team A7681 9,Team B7681 4
Team A7682 3,Team B7682 9
Team A7683 0,Team B7683 8
Team A7684 9,Team B7684 2
Team A7685 4,Team B7685 6
Team A7686 7,Team B7686 9
Team A7687 9,Team B7687 8
Team A7688 9,Team B7688 1
Team A7689 3,Team B7689 7
Team A7690 9,Team B7690 7
Team A7691 7,Team B7691 8
Team A7692 0,Team B7692 1
Team A7693 0,Team B7693 9
Team A7694 8,Team B7694 2
Team A7695 6,Team B7695 6
Team A7696 5,Team B7696 7
Team A7697 6,Team B7697 7
Team A7698 5,Team B7698 3
Team A7699 3,Team B7699 3
Team A7700 2,Team B7700 8
Team A7701 8,Team B7701 7
Team A7702 3,Team B7702 4
Team A7703 0,Team B7703 6
Team A7704 0,Team B7704 8
Team A7705 1,Team B7705 2
Team A7706 3,Team B7706 8
Team A7707 0,Team B7707 0
Team A7708 3,Team B7708 5
Team A7709 9,Team B7709 3
Team A7710 6,Team B7710 6
Team A7711 5,Team B7711 0
Team A7712 5,Team B7712 6
Team A7713 5,Team B7713 7
Team A7714 5,Team B7714 6
Team A7715 4,Team B7715 5
Team A7716 9,Team B7716 6
Team A7717 8,Team B7717 7
Team A7718 8,Team B7718 8
Team A7719 8,Team B7719 0
Team A7720 5,Team B7720 0
Team A7721 2,Team B7721 4
Team A7722 4,Team B7722 2
Team A7723 0,Team B7723 0
Team A7724 9,Team B7724 5
Team A7725 0,Team B7725 8
Team A7726 7,Team B7726 7
Team A7727 6,Team B7727 8
Team A7728 5,Team B7728 7
Team A7729 2,Team B7729 0
Team A7730 6,Team B7730 1
Team A7731 0,Team B7731 6
Team A7732 5,Team B7732 6
Team A7733 7,Team B7733 1
Team A7734 3,Team B7734 7
Team A7735 1,Team B7735 6
Team A7736 5,Team B7736 1
Team A7737 9,Team B7737 0
Team A7738 3,Team B7738 6
Team A7739 8,Team B7739 2
Team A7740 6,Team B7740 4
Team A7741 9,Team B7741 5
Team A7742 5,Team B7742 3
Team A7743 0,Team B7743 5
Team A7744 7,Team B7744 1
Team A7745 5,Team B7745 3
Team A7746 0,Team B7746 9
Team A7747 5,Team B7747 6
Team A7748 2,Team B7748 3
Team A7749 3,Team B7749 1
Team A7750 6,Team B7750 8
Team A7751 1,Team B7751 7
Team A7752 2,Team B7752 8
Team A7753 2,Team B7753 3
Team A7754 5,Team B7754 4
Team A7755 4,Team B7755 1
Team A7756 2,Team B7756 0
Team A7757 3,Team B7757 4
Team A7758 4,Team B7758 8
Team A7759 3,Team B7759 7
Team A7760 5,Team B7760 6
Team A7761 0,Team B7761 6
Team A7762 5,Team B7762 5
Team A7763 5,Team B7763 4
Team A7764 0,Team B7764 3
Team A7765 2,Team B7765 3
Team A7766 3,Team B7766 1
Team A7767 3,Team B7767 5
Team A7768 6,Team B7768 5
Team A7769 2,Team B7769 4
Team A7770 0,Team B7770 8
Team A7771 6,Team B7771 7
Team A7772 9,Team B7772 5
Team A7773 2,Team B7773 1
Team A7774 8,Team B7774 9
Team A7775 4,Team B7775 0
Team A7776 1,Team B7776 0
Team A7777 9,Team B7777 9
Team A7778 1,Team B7778 2
Team A7779 5,Team B7779 9
Team A7780 3,Team B7780 5
Team A7781 8,Team B7781 5
Team A7782 6,Team B7782 8
Team A7783 1,Team B7783 9
Team A7784 3,Team B7784 2
Team A7785 4,Team B7785 4
Team A7786 2,Team B7786 1
Team A7787 8,Team B7787 6
Team A7788 7,Team B7788 7
Team A7789 2,Team B7789 1
Team A7790 4,Team B7790 6
Team A7791 2,Team B7791 5
Team A7792 3,Team B7792 7
Team A7793 3,Team B7793 5
Team A7794 6,Team B7794 2
Team A7795 4,Team B7795 0
Team A7796 3,Team B7796 3
Team A7797 6,Team B7797 1
Team A7798 3,Team B7798 6
Team A7799 5,Team B7799 6
Team A7800 6,Team B7800 5
Team A7801 9,Team B7801 8
Team A7802 9,Team B7802 5
Team A7803 4,Team B7803 5
Team A7804 9,Team B7804 6
Team A7805 6,Team B7805 7
Team A7806 2,Team B7806 6
Team A7807 7,Team B7807 5
Team A7808 9,Team B7808 6
Team A7809 3,Team B7809 1
Team A7810 7,Team B7810 7
Team A7811 0,Team B7811 2
Team A7812 0,Team B7812 5
Team A7813 3,Team B7813 5
Team A7814 2,Team B7814 2
Team A7815 3,Team B7815 0
Team A7816 6,Team B7816 8
Team A7817 2,Team B7817 2
Team A7818 0,Team B7818 7
Team A7819 3,Team B7819 7
Team A7820 9,Team B7820 7
Team A7821 0,Team B7821 8
Team A7822 7,Team B7822 0
Team A7823 7,Team B7823 6
Team A7824 6,Team B7824 3
Team A7825 4,Team B7825 7
Team A7826 5,Team B7826 1
Team A7827 3,Team B7827 4
Team A7828 6,Team B7828 6
Team A7829 3,Team B7829 6
Team A7830 2,Team B7830 0
Team A7831 4,Team B7831 2
Team A7832 7,Team B7832 7
Team A7833 1,Team B7833 7
Team A7834 4,Team B7834 3
Team A7835 7,Team B7835 8
Team A7836 0,Team B7836 7
Team A7837 2,Team B7837 7
Team A7838 1,Team B7838 3
Team A7839 9,Team B7839 6
Team A7840 9,Team B7840 5
Team A7841 8,Team B7841 0
Team A7842 9,Team B7842 4
Team A7843 5,Team B7843 8
Team A7844 8,Team B7844 7
Team A7845 5,Team B7845 1
Team A7846 7,Team B7846 8
Team A7847 0,Team B7847 5
Team A7848 0,Team B7848 1
Team A7849 7,Team B7849 2
Team A7850 5,Team B7850 6
Team A7851 6,Team B7851 6
Team A7852 0,Team B7852 7
Team A7853 9,Team B7853 6
Team A7854 3,Team B7854 1
Team A7855 9,Team B7855 3
Team A7856 5,Team B7856 9
Team A7857 9,Team B7857 8
Team A7858 5,Team B7858 0
Team A7859 9,Team B7859 9
Team A7860 6,Team B7860 8
Team A7861 9,Team B7861 8
Team A7862 2,Team B7862 4
Team A7863 8,Team B7863 7
Team A7864 3,Team B7864 9
Team A7865 9,Team B7865 0
Team A7866 7,Team B7866 4
Team A7867 4,Team B7867 9
Team A7868 4,Team B7868 4
Team A7869 4,Team B7869 7
Team A7870 1,Team B7870 0
Team A7871 4,Team B7871 8
Team A7872 4,Team B7872 3
Team A7873 0,Team B7873 5
Team A7874 2,Team B7874 8
Team A7875 6,Team B7875 7
Team A7876 3,Team B7876 4
Team A7877 3,Team B7877 0
Team A7878 2,Team B7878 0
Team A7879 8,Team B7879 4
Team A7880 1,Team B7880 9
Team A7881 0,Team B7881 0
Team A7882 7,Team B7882 8
Team A7883 7,Team B7883 4
Team A7884 6,Team B7884 8
Team A7885 1,Team B7885 3
Team A7886 6,Team B7886 8
Team A7887 9,Team B7887 3
Team A7888 2,Team B7888 5
Team A7889 4,Team B7889 3
Team A7890 1,Team B7890 3
Team A7891 2,Team B7891 9
Team A7892 4,Team B7892 0
Team A7893 9,Team B7893 4
Team A7894 4,Team B7894 4
Team A7895 3,Team B7895 7
Team A7896 9,Team B7896 0
Team A7897 6,Team B7897 5
Team A7898 3,Team B7898 1
Team A7899 1,Team B7899 6
Team A7900 2,Team B7900 0
Team A7901 1,Team B7901 8
Team A7902 0,Team B7902 3
Team A7903 9,Team B7903 7
Team A7904 5,Team B7904 8
Team A7905 0,Team B7905 7
Team A7906 9,Team B7906 8
Team A7907 0,Team B7907 9
Team A7908 5,Team B7908 7
Team A7909 7,Team B7909 5
Team A7910 2,Team B7910 9
Team A7911 1,Team B7911 4
Team A7912 3,Team B7912 4
Team A7913 3,Team B7913 8
Team A7914 4,Team B7914 2
Team A7915 3,Team B7915 6
Team A7916 4,Team B7916 4
Team A7917 7,Team B7917 9
Team A7918 2,Team B7918 1
Team A7919 0,Team B7919 5
Team A7920 9,Team B7920 7
Team A7921 2,Team B7921 5
Team A7922 6,Team B7922 3
Team A7923 0,Team B7923 3
Team A7924 4,Team B7924 2
Team A7925 4,Team B7925 8
Team A7926 7,Team B7926 7
Team A7927 0,Team B7927 8
Team A7928 0,Team B7928 5
Team A7929 5,Team B7929 9
Team A7930 6,Team B7930 1
Team A7931 9,Team B7931 8
Team A7932 0,Team B7932 6
Team A7933 8,Team B7933 2
Team A7934 4,Team B7934 6
Team A7935 6,Team B7935 1
Team A7936 6,Team B7936 8
Team A7937 6,Team B7937 2
Team A7938 2,Team B7938 8
Team A7939 0,Team B7939 4
Team A7940 0,Team B7940 2
Team A7941 5,Team B7941 8
Team A7942 8,Team B7942 0
Team A7943 6,Team B7943 2
Team A7944 9,Team B7944 7
Team A7945 7,Team B7945 7
Team A7946 2,Team B7946 6
Team A7947 8,Team B7947 5
Team A7948 6,Team B7948 8
Team A7949 3,Team B7949 2
Team A7950 3,Team B7950 7
Team A7951 2,Team B7951 8
Team A7952 9,Team B7952 6
Team A7953 6,Team B7953 7
Team A7954 7,Team B7954 3
Team A7955 4,Team B7955 9
Team A7956 3,Team B7956 1
Team A7957 9,Team B7957 2
Team A7958 9,Team B7958 4
Team A7959 8,Team B7959 3
Team A7960 5,Team B7960 9
Team A7961 5,Team B7961 7
Team A7962 7,Team B7962 5
Team A7963 5,Team B7963 0
Team A7964 2,Team B7964 6
Team A7965 8,Team B7965 6
Team A7966 4,Team B7966 5
Team A7967 9,Team B7967 7
Team A7968 6,Team B7968 9
Team A7969 7,Team B7969 2
Team A7970 4,Team B7970 1
Team A7971 6,Team B7971 1
Team A7972 9,Team B7972 4
Team A7973 2,Team B7973 4
Team A7974 1,Team B7974 0
Team A7975 1,Team B7975 9
Team A7976 1,Team B7976 4
Team A7977 0,Team B7977 0
Team A7978 7,Team B7978 0
Team A7979 0,Team B7979 1
Team A7980 6,Team B7980 1
Team A7981 4,Team B7981 2
Team A7982 1,Team B7982 9
Team A7983 7,Team B7983 1
Team A7984 3,Team B7984 1
Team A7985 8,Team B7985 2
Team A7986 2,Team B7986 7
Team A7987 6,Team B7987 6
Team A7988 0,Team B7988 7
Team A7989 5,Team B7989 9
Team A7990 7,Team B7990 5
Team A7991 0,Team B7991 9
Team A7992 7,Team B7992 0
Team A7993 6,Team B7993 8
Team A7994 7,Team B7994 2
Team A7995 8,Team B7995 1
Team A7996 3,Team B7996 7
Team A7997 0,Team B7997 0
Team A7998 2,Team B7998 9
Team A7999 0,Team B7999 4
Team A8000 5,Team B8000 2
Team A8001 7,Team B8001 7
Team A8002 3,Team B8002 3
Team A8003 8,Team B8003 9
Team A8004 9,Team B8004 5
Team A8005 4,Team B8005 0
Team A8006 4,Team B8006 2
Team A8007 6,Team B8007 5
Team A8008 9,Team B8008 8
Team A8009 6,Team B8009 6
Team A8010 3,Team B8010 3
Team A8011 1,Team B8011 1
Team A8012 2,Team B8012 4
Team A8013 9,Team B8013 1
Team A8014 7,Team B8014 7
Team A8015 0,Team B8015 3
Team A8016 0,Team B8016 8
Team A8017 9,Team B8017 5
Team A8018 7,Team B8018 4
Team A8019 3,Team B8019 9
Team A8020 1,Team B8020 4
Team A8021 7,Team B8021 2
Team A8022 3,Team B8022 7
Team A8023 0,Team B8023 7
Team A8024 5,Team B8024 7
Team A8025 0,Team B8025 9
Team A8026 5,Team B8026 3
Team A8027 4,Team B8027 4
Team A8028 4,Team B8028 7
Team A8029 0,Team B8029 8
Team A8030 1,Team B8030 0
Team A8031 3,Team B8031 0
Team A8032 5,Team B8032 2
Team A8033 2,Team B8033 2
Team A8034 6,Team B8034 5
Team A8035 0,Team B8035 7
Team A8036 4,Team B8036 0
Team A8037 1,Team B8037 7
Team A8038 7,Team B8038 2
Team A8039 2,Team B8039 5
Team A8040 0,Team B8040 5
Team A8041 1,Team B8041 5
Team A8042 4,Team B8042 8
Team A8043 1,Team B8043 8
Team A8044 3,Team B8044 5
Team A8045 3,Team B8045 2
Team A8046 8,Team B8046 4
Team A8047 7,Team B8047 1
Team A8048 5,Team B8048 1
Team A8049 7,Team B8049 3
Team A8050 7,Team B8050 2
Team A8051 0,Team B8051 5
Team A8052 0,Team B8052 7
Team A8053 7,Team B8053 4
Team A8054 0,Team B8054 6
Team A8055 0,Team B8055 5
Team A8056 5,Team B8056 1
Team A8057 0,Team B8057 7
Team A8058 1,Team B8058 0
Team A8059 6,Team B8059 4
Team A8060 5,Team B8060 0
Team A8061 7,Team B8061 0
Team A8062 9,Team B8062 0
Team A8063 4,Team B8063 7
Team A8064 4,Team B8064 3
Team A8065 4,Team B8065 2
Team A8066 5,Team B8066 2
Team A8067 7,Team B8067 1
Team A8068 1,Team B8068 3
Team A8069 2,Team B8069 1
Team A8070 5,Team B8070 9
Team A8071 3,Team B8071 2
Team A8072 9,Team B8072 8
Team A8073 3,Team B8073 7
Team A8074 2,Team B8074 9
Team A8075 6,Team B8075 2
Team A8076 2,Team B8076 4
Team A8077 4,Team B8077 6
Team A8078 9,Team B8078 5
Team A8079 3,Team B8079 9
Team A8080 3,Team B8080 8
Team A8081 8,Team B8081 8
Team A8082 2,Team B8082 7
Team A8083 6,Team B8083 3
Team A8084 3,Team B8084 4
Team A8085 6,Team B8085 0
Team A8086 2,Team B8086 4
Team A8087 9,Team B8087 8
Team A8088 1,Team B8088 3
Team A8089 0,Team B8089 1
Team A8090 0,Team B8090 7
Team A8091 0,Team B8091 4
Team A8092 9,Team B8092 5
Team A8093 4,Team B8093 5
Team A8094 9,Team B8094 2
Team A8095 2,Team B8095 2
Team A8096 2,Team B8096 8
Team A8097 5,Team B8097 3
Team A8098 9,Team B8098 1
Team A8099 7,Team B8099 8
Team A8100 6,Team B8100 8
Team A8101 7,Team B8101 2
Team A8102 4,Team B8102 9
Team A8103 2,Team B8103 8
Team A8104 3,Team B8104 8
Team A8105 9,Team B8105 6
Team A8106 0,Team B8106 1
Team A8107 7,Team B8107 8
Team A8108 7,Team B8108 7
Team A8109 2,Team B8109 5
Team A8110 2,Team B8110 9
Team A8111 7,Team B8111 0
Team A8112 6,Team B8112 7
Team A8113 8,Team B8113 0
Team A8114 0,Team B8114 0
Team A8115 4,Team B8115 2
Team A8116 7,Team B8116 2
Team A8117 9,Team B8117 6
Team A8118 5,Team B8118 4
Team A8119 1,Team B8119 6
Team A8120 0,Team B8120 5
Team A8121 6,Team B8121 9
Team A8122 1,Team B8122 7
Team A8123 5,Team B8123 5
Team A8124 6,Team B8124 1
Team A8125 5,Team B8125 3
Team A8126 2,Team B8126 5
Team A8127 4,Team B8127 6
Team A8128 4,Team B8128 1
Team A8129 0,Team B8129 1
Team A8130 2,Team B8130 1
Team A8131 6,Team B8131 4
Team A8132 7,Team B8132 7
Team A8133 4,Team B8133 5
Team A8134 3,Team B8134 6
Team A8135 1,Team B8135 0
Team A8136 1,Team B8136 8
Team A8137 1,Team B8137 2
Team A8138 1,Team B8138 1
Team A8139 3,Team B8139 0
Team A8140 6,Team B8140 2
Team A8141 4,Team B8141 5
Team A8142 5,Team B8142 4
Team A8143 0,Team B8143 8
Team A8144 0,Team B8144 7
Team A8145 9,Team B8145 6
Team A8146 3,Team B8146 1
Team A8147 2,Team B8147 2
Team A8148 1,Team B8148 9
Team A8149 5,Team B8149 8
Team A8150 2,Team B8150 7
Team A8151 5,Team B8151 0
Team A8152 7,Team B8152 7
Team A8153 1,Team B8153 6
Team A8154 3,Team B8154 3
Team A8155 0,Team B8155 6
Team A8156 6,Team B8156 1
Team A8157 0,Team B8157 3
Team A8158 3,Team B8158 5
Team A8159 2,Team B8159 7
Team A8160 6,Team B8160 5
Team A8161 6,Team B8161 7
Team A8162 9,Team B8162 7
Team A8163 5,Team B8163 0
Team A8164 5,Team B8164 6
Team A8165 5,Team B8165 3
Team A8166 4,Team B8166 0
Team A8167 0,Team B8167 9
Team A8168 0,Team B8168 7
Team A8169 3,Team B8169 0
Team A8170 7,Team B8170 3
Team A8171 4,Team B8171 6
Team A8172 3,Team B8172 8
Team A8173 0,Team B8173 3
Team A8174 9,Team B8174 2
Team A8175 2,Team B8175 7
Team A8176 1,Team B8176 3
Team A8177 0,Team B8177 4
Team A8178 6,Team B8178 2
Team A8179 7,Team B8179 6
Team A8180 4,Team B8180 7
Team A8181 5,Team B8181 6
Team A8182 2,Team B8182 7
Team A8183 9,Team B8183 8
Team A8184 3,Team B8184 5
Team A8185 1,Team B8185 7
Team A8186 3,Team B8186 6
Team A8187 6,Team B8187 7
Team A8188 6,Team B8188 1
Team A8189 2,Team B8189 3
Team A8190 4,Team B8190 9
Team A8191 0,Team B8191 3
Team A8192 0,Team B8192 0
Team A8193 4,Team B8193 4
Team A8194 1,Team B8194 5
Team A8195 2,Team B8195 1
Team A8196 4,Team B8196 6
Team A8197 4,Team B8197 1
Team A8198 5,Team B8198 2
Team A8199 0,Team B8199 4
Team A8200 7,Team B8200 3
Team A8201 8,Team B8201 7
Team A8202 3,Team B8202 7
Team A8203 0,Team B8203 2
Team A8204 2,Team B8204 5
Team A8205 3,Team B8205 2
Team A8206 7,Team B8206 5
Team A8207 9,Team B8207 8
Team A8208 3,Team B8208 1
Team A8209 6,Team B8209 3
Team A8210 5,Team B8210 3
Team A8211 1,Team B8211 1
Team A8212 0,Team B8212 0
Team A8213 0,Team B8213 6
Team A8214 8,Team B8214 3
Team A8215 9,Team B8215 9
Team A8216 3,Team B8216 8
Team A8217 6,Team B8217 3
Team A8218 3,Team B8218 5
Team A8219 6,Team B8219 0
Team A8220 7,Team B8220 1
Team A8221 6,Team B8221 9
Team A8222 3,Team B8222 5
Team A8223 0,Team B8223 8
Team A8224 5,Team B8224 5
Team A8225 0,Team B8225 7
Team A8226 6,Team B8226 1
Team A8227 1,Team B8227 6
Team A8228 6,Team B8228 3
Team A8229 4,Team B8229 1
Team A8230 3,Team B8230 9
Team A8231 3,Team B8231 3
Team A8232 7,Team B8232 8
Team A8233 8,Team B8233 2
Team A8234 7,Team B8234 9
Team A8235 2,Team B8235 7
Team A8236 7,Team B8236 4
Team A8237 3,Team B8237 4
Team A8238 1,Team B8238 3
Team A8239 3,Team B8239 8
Team A8240 6,Team B8240 9
Team A8241 0,Team B8241 4
Team A8242 5,Team B8242 3
Team A8243 8,Team B8243 9
Team A8244 1,Team B8244 5
Team A8245 6,Team B8245 0
Team A8246 8,Team B8246 0
Team A8247 3,Team B8247 7
Team A8248 0,Team B8248 5
Team A8249 5,Team B8249 2
